title,price,area,types,size,bedroom
  Saujana apartment damansara damai  , RM 250 000 , Damansara Damai , Apartments ,700 sq.ft, 3 Bedrooms 
  [Ready Tenant Rent RM1300 Sublet] Seri Jasa Apartment walk The Mines  , RM 170 000 , Balakong , Apartments ,850 sq.ft, 3 Bedrooms 
  Residensi Permata Melawati  , RM 463 950 , Ulu Klang , Apartments ,1000 sq.ft, 3 Bedrooms 
"  For sale (1st floor) SRI WIRA APARTMENT ,UKAY PERDANA, AMPANG  ", RM 265 000 , Ampang , Apartments ,850 sq.ft, 3 Bedrooms 
  PANORAMA SENTUL RESIDEN. Tmn Bullion Batu Caves Gombak  , RM 490 000 , Gombak , Apartments ,1130 sq.ft, 3 Bedrooms 
  [FREEHOLD LEVEL 1] ORCHID APARTMENT PUCHONG PRIMA 4 min walking to LRT  , RM 245 000 , Puchong , Apartments ,750 sq.ft, 3 Bedrooms 
"  Metropolitan square condo damansara perdana,  ", RM 900 000 , Damansara Perdana , Apartments ,2005 sq.ft, 4 Bedrooms 
  [NON BUMI TENANTED] Apartment Penaga Mas Puchong Near LRT For Sale  , RM 180 000 , Puchong , Apartments ,780 sq.ft, 3 Bedrooms 
  [FREEHOLD GROUND FLOOR] Pangsapuri Sri Kemuning Kota Kemuning S Alam  , RM 285 000 , Kota Kemuning , Apartments ,753 sq.ft, 3 Bedrooms 
  Casamas Court !!! Ukay Bistari 0% Deposit !!! 90% Completed  , RM 363 240 , Ampang , Apartments ,882 sq.ft, 3 Bedrooms 
  Hot Selling Fast Condo at Sepang ! Fast Contact me NOW!  , RM 236 000 , Sepang , Apartments ,663 sq.ft, 3 Bedrooms 
  High Rental and High Capital Gain at Cyberjaya! Grad it Now!  , RM 247 000 , Cyberjaya , Apartments ,665 sq.ft, 2 Bedrooms 
  [MEDIUM COST BELOW MV CORNER] Apartment Puchong Permata 1  , RM 235 000 , Puchong , Apartments ,850 sq.ft, 3 Bedrooms 
  [HOT AREA NICE DECORATION] Condominium Prima U1 Shah Alam  , RM 300 000 , Shah Alam , Apartments ,980 sq.ft, 3 Bedrooms 
  [ 700SQFT LEVEL 1 ] Flat PKNS Seksyen 16 Shah Alam  , RM 200 000 , Shah Alam , Apartments ,700 sq.ft, 3 Bedrooms 
  Duplex Townhouse Sri Mahligai Seksyen 9 Shah Alam  , RM 490 000 , Shah Alam , Apartments ,1913 sq.ft, 4 Bedrooms 
  New Condo With Promotion in Putrajaya (7 Unit Left)  , RM 399 999 , Cyberjaya , Apartments ,817 sq.ft, 3 Bedrooms 
  (7 Unit Left With Promotion) New Condo in Damansara Damai  , RM 350 000 , Saujana , Apartments ,855 sq.ft, 3 Bedrooms 
"  Taman Sri Sentosa, Jalan Bendahara, Freehold, Level 3  ", RM 90 000 , Klang , Apartments ,1200 sq.ft, 3 Bedrooms 
  SKIM 1st HOME FULLOAN Sri Gotong Banjaria [ BULANAN 1K+- ]  , RM 240 000 , Batu Caves , Apartments ,816 sq.ft, 3 Bedrooms 
  BELOW MARKET VALUE APPARTMENT menara u2 sebelah Aeon Shah Alam  , RM 300 000 , Shah Alam , Apartments ,450 sq.ft, 1 Bedroom 
  FREEHOLD Kondominium Pelangi Sg Merab Bangi  , RM 310 000 , Bangi , Apartments ,1070 sq.ft, 3 Bedrooms 
  STRATA O DEPO Bayu Saujana Indah Condo | PRIMA Damansara  , RM 195 000 , Damansara Damai , Apartments ,750 sq.ft, 3 Bedrooms 
"  For Sale= Main Place Residence USJ, Beside LRT Below Market Price!!!!  ", RM 35 500 , USJ , Apartments ,615 sq.ft, 2 Bedrooms 
  Service Apartment Kelana Jaya  , RM 680 000 , Kelana Jaya , Apartments ,753 sq.ft, 2 Bedrooms 
  First Sky Facilities in PJ Fully Furnished Package  , RM 580 000 , Kelana Jaya , Apartments ,753 sq.ft, 3 Bedrooms 
"  【2nd Floor】[FULL LOAN] Sri Dahlia Apartment, Bandar Puteri Puchong  ", RM 153 000 , Puchong , Apartments ,689 sq.ft, 3 Bedrooms 
  Apartment dahlia bandar seri putra  , RM 100 000 , Bangi , Apartments ,652 sq.ft, 3 Bedrooms 
  Lily Apartment in Taman Mayang Jaya  , RM 408 000 , Ara Damansara , Apartments ,940 sq.ft, 3 Bedrooms 
  The Sanderson Suites Bukit Serdang 3r2b For SALE !!!!  , RM 420 000 , Seri Kembangan , Apartments ,900 sq.ft, 3 Bedrooms 
  End lot apt sri tanjung bangi  , RM 190 000 , Bangi , Apartments ,800 sq.ft, 4 Bedrooms 
  Renovated ground floor apartment  , RM 245 000 , Bangi , Apartments ,864 sq.ft, 3 Bedrooms 
"  Below Market 27% | Pangsapuri Impian Meru, Meru Klang | 857sf Freehold  ", RM 116 700 , Klang , Apartments ,857 sq.ft, 3 Bedrooms 
"  Pangsapuri Ruselia , Equine, putrajaya , Seri Kembangan, puchong MRT  ", RM 150 000 , Seri Kembangan , Apartments ,720 sq.ft, 3 Bedrooms 
"  Ground floor putra indah ,fully reno ,seri kembangan equine,putrajaya  ", RM 280 000 , Seri Kembangan , Apartments ,864 sq.ft, 4 Bedrooms 
"  Glomac Centro,One Utama,Kota Damansara,Damansara Perdana  ", RM 800 000 , Bandar Utama , Apartments ,1423 sq.ft, 4 Bedrooms 
"  APARTMENT FOR SALE at JULIA BANDAR BARU SELAYANG, SELANGOR  ", RM 129 000 , Selayang , Apartments ,487 sq.ft, 2 Bedrooms 
  (Full Loan)* Serdang Perdana Apartment Seri Kembangan  , RM 135 000 , Serdang , Apartments ,720 sq.ft, 3 Bedrooms 
  Bayu Puteri Apartment Nice Unit  , RM 420 000 , Tropicana , Apartments ,850 sq.ft, 3 Bedrooms 
"  (TKT 3)* Taman Lestari Perdana Shop Apartment, Seri Kembangan Equine  ", RM 98 000 , Damansara Damai , Apartments ,650 sq.ft, 3 Bedrooms 
  Saujana apartment damansara damai  , RM 250 000 , Balakong ,"
Apartments
","1093 sq.ft
","
3 Bedrooms
"
  [Ready Tenant Rent RM1300 Sublet] Seri Jasa Apartment walk The Mines  , RM 170 000 , Ulu Klang ,"
Apartments
","1017 sq.ft
","
3 Bedrooms
"
  Residensi Permata Melawati  , RM 463 950 , Ampang , Apartments ,700 sq.ft, 3 Bedrooms 
"  For sale (1st floor) SRI WIRA APARTMENT ,UKAY PERDANA, AMPANG  ", RM 265 000 , Gombak , Apartments ,850 sq.ft, 3 Bedrooms 
  PANORAMA SENTUL RESIDEN. Tmn Bullion Batu Caves Gombak  , RM 490 000 , Puchong , Apartments ,1000 sq.ft, 3 Bedrooms 
  [FREEHOLD LEVEL 1] ORCHID APARTMENT PUCHONG PRIMA 4 min walking to LRT  , RM 245 000 , Damansara Perdana , Apartments ,850 sq.ft, 3 Bedrooms 
"  Metropolitan square condo damansara perdana,  ", RM 900 000 , Puchong , Apartments ,1130 sq.ft, 3 Bedrooms 
  [NON BUMI TENANTED] Apartment Penaga Mas Puchong Near LRT For Sale  , RM 180 000 , Kota Kemuning , Apartments ,750 sq.ft, 3 Bedrooms 
  [FREEHOLD GROUND FLOOR] Pangsapuri Sri Kemuning Kota Kemuning S Alam  , RM 285 000 , Ampang , Apartments ,2005 sq.ft, 4 Bedrooms 
  Casamas Court !!! Ukay Bistari 0% Deposit !!! 90% Completed  , RM 363 240 , Sepang , Apartments ,780 sq.ft, 3 Bedrooms 
  Hot Selling Fast Condo at Sepang ! Fast Contact me NOW!  , RM 236 000 , Cyberjaya , Apartments ,753 sq.ft, 3 Bedrooms 
  High Rental and High Capital Gain at Cyberjaya! Grad it Now!  , RM 247 000 , Puchong , Apartments ,882 sq.ft, 3 Bedrooms 
  [MEDIUM COST BELOW MV CORNER] Apartment Puchong Permata 1  , RM 235 000 , Shah Alam , Apartments ,663 sq.ft, 3 Bedrooms 
  [HOT AREA NICE DECORATION] Condominium Prima U1 Shah Alam  , RM 300 000 , Shah Alam , Apartments ,665 sq.ft, 2 Bedrooms 
  [ 700SQFT LEVEL 1 ] Flat PKNS Seksyen 16 Shah Alam  , RM 200 000 , Shah Alam , Apartments ,850 sq.ft, 3 Bedrooms 
  Duplex Townhouse Sri Mahligai Seksyen 9 Shah Alam  , RM 490 000 , Cyberjaya , Apartments ,980 sq.ft, 3 Bedrooms 
  New Condo With Promotion in Putrajaya (7 Unit Left)  , RM 399 999 , Saujana , Apartments ,700 sq.ft, 3 Bedrooms 
  (7 Unit Left With Promotion) New Condo in Damansara Damai  , RM 350 000 , Klang , Apartments ,1913 sq.ft, 4 Bedrooms 
"  Taman Sri Sentosa, Jalan Bendahara, Freehold, Level 3  ", RM 90 000 , Batu Caves , Apartments ,817 sq.ft, 3 Bedrooms 
  SKIM 1st HOME FULLOAN Sri Gotong Banjaria [ BULANAN 1K+- ]  , RM 240 000 , Shah Alam , Apartments ,855 sq.ft, 3 Bedrooms 
  BELOW MARKET VALUE APPARTMENT menara u2 sebelah Aeon Shah Alam  , RM 300 000 , Bangi , Apartments ,1200 sq.ft, 3 Bedrooms 
  FREEHOLD Kondominium Pelangi Sg Merab Bangi  , RM 310 000 , Damansara Damai , Apartments ,816 sq.ft, 3 Bedrooms 
  STRATA O DEPO Bayu Saujana Indah Condo | PRIMA Damansara  , RM 195 000 , USJ , Apartments ,450 sq.ft, 1 Bedroom 
"  For Sale= Main Place Residence USJ, Beside LRT Below Market Price!!!!  ", RM 35 500 , Kelana Jaya , Apartments ,1070 sq.ft, 3 Bedrooms 
  Service Apartment Kelana Jaya  , RM 680 000 , Kelana Jaya , Apartments ,750 sq.ft, 3 Bedrooms 
  First Sky Facilities in PJ Fully Furnished Package  , RM 580 000 , Puchong , Apartments ,615 sq.ft, 2 Bedrooms 
"  【2nd Floor】[FULL LOAN] Sri Dahlia Apartment, Bandar Puteri Puchong  ", RM 153 000 , Bangi , Apartments ,753 sq.ft, 2 Bedrooms 
  Apartment dahlia bandar seri putra  , RM 100 000 , Ara Damansara , Apartments ,753 sq.ft, 3 Bedrooms 
  Lily Apartment in Taman Mayang Jaya  , RM 408 000 , Seri Kembangan , Apartments ,689 sq.ft, 3 Bedrooms 
  The Sanderson Suites Bukit Serdang 3r2b For SALE !!!!  , RM 420 000 , Bangi , Apartments ,652 sq.ft, 3 Bedrooms 
  End lot apt sri tanjung bangi  , RM 190 000 , Bangi , Apartments ,940 sq.ft, 3 Bedrooms 
  Renovated ground floor apartment  , RM 245 000 , Klang , Apartments ,900 sq.ft, 3 Bedrooms 
"  Below Market 27% | Pangsapuri Impian Meru, Meru Klang | 857sf Freehold  ", RM 116 700 , Seri Kembangan , Apartments ,800 sq.ft, 4 Bedrooms 
