Date,Area,Title,Type,Bedroom,Size,Price
"  Today, 04:13   Damansara Damai   ", Damansara Damai ,  Apartment termurah cheras  , Apartments , 2 Bedrooms ,516 sq.ft, RM 155 000 
 Apartments , Damansara Damai ,  Saujana apartment damansara damai  , Apartments , 3 Bedrooms ,700 sq.ft, RM 250 000 
516 sq.ft, Balakong ,  [Ready Tenant Rent RM1300 Sublet] Seri Jasa Apartment walk The Mines  , Apartments , 3 Bedrooms ,850 sq.ft, RM 170 000 
 2 Bedrooms , Ulu Klang ,  Residensi Permata Melawati  , Apartments , 3 Bedrooms ,1000 sq.ft, RM 463 950 
 1 Bathroom , Ampang ,"  For sale (1st floor) SRI WIRA APARTMENT ,UKAY PERDANA, AMPANG  ", Apartments , 3 Bedrooms ,850 sq.ft, RM 265 000 
"  Today, 03:08   Damansara Damai   ", Gombak ,  PANORAMA SENTUL RESIDEN. Tmn Bullion Batu Caves Gombak  , Apartments , 3 Bedrooms ,1130 sq.ft, RM 490 000 
 Apartments , Puchong ,  [FREEHOLD LEVEL 1] ORCHID APARTMENT PUCHONG PRIMA 4 min walking to LRT  , Apartments , 3 Bedrooms ,750 sq.ft, RM 245 000 
700 sq.ft, Damansara Perdana ,"  Metropolitan square condo damansara perdana,  ", Apartments , 4 Bedrooms ,2005 sq.ft, RM 900 000 
 3 Bedrooms , Puchong ,  [NON BUMI TENANTED] Apartment Penaga Mas Puchong Near LRT For Sale  , Apartments , 3 Bedrooms ,780 sq.ft, RM 180 000 
 2 Bathrooms , Kota Kemuning ,  [FREEHOLD GROUND FLOOR] Pangsapuri Sri Kemuning Kota Kemuning S Alam  , Apartments , 3 Bedrooms ,753 sq.ft, RM 285 000 
"  Today, 03:07   Balakong   ", Ampang ,  Casamas Court !!! Ukay Bistari 0% Deposit !!! 90% Completed  , Apartments , 3 Bedrooms ,882 sq.ft, RM 363 240 
 Apartments , Sepang ,  Hot Selling Fast Condo at Sepang ! Fast Contact me NOW!  , Apartments , 3 Bedrooms ,663 sq.ft, RM 236 000 
850 sq.ft, Cyberjaya ,  High Rental and High Capital Gain at Cyberjaya! Grad it Now!  , Apartments , 2 Bedrooms ,665 sq.ft, RM 247 000 
 3 Bedrooms , Puchong ,  [MEDIUM COST BELOW MV CORNER] Apartment Puchong Permata 1  , Apartments , 3 Bedrooms ,850 sq.ft, RM 235 000 
 2 Bathrooms , Shah Alam ,  [HOT AREA NICE DECORATION] Condominium Prima U1 Shah Alam  , Apartments , 3 Bedrooms ,980 sq.ft, RM 300 000 
"  Today, 02:05   Ulu Klang   ", Shah Alam ,  [ 700SQFT LEVEL 1 ] Flat PKNS Seksyen 16 Shah Alam  , Apartments , 3 Bedrooms ,700 sq.ft, RM 200 000 
 Apartments , Shah Alam ,  Duplex Townhouse Sri Mahligai Seksyen 9 Shah Alam  , Apartments , 4 Bedrooms ,1913 sq.ft, RM 490 000 
1000 sq.ft, Cyberjaya ,  New Condo With Promotion in Putrajaya (7 Unit Left)  , Apartments , 3 Bedrooms ,817 sq.ft, RM 399 999 
 3 Bedrooms , Saujana ,  (7 Unit Left With Promotion) New Condo in Damansara Damai  , Apartments , 3 Bedrooms ,855 sq.ft, RM 350 000 
 2 Bathrooms , Klang ,"  Taman Sri Sentosa, Jalan Bendahara, Freehold, Level 3  ", Apartments , 3 Bedrooms ,1200 sq.ft, RM 90 000 
"  Today, 02:05   Ampang   ", Batu Caves ,  SKIM 1st HOME FULLOAN Sri Gotong Banjaria [ BULANAN 1K+- ]  , Apartments , 3 Bedrooms ,816 sq.ft, RM 240 000 
 Apartments , Shah Alam ,  BELOW MARKET VALUE APPARTMENT menara u2 sebelah Aeon Shah Alam  , Apartments , 1 Bedroom ,450 sq.ft, RM 300 000 
850 sq.ft, Bangi ,  FREEHOLD Kondominium Pelangi Sg Merab Bangi  , Apartments , 3 Bedrooms ,1070 sq.ft, RM 310 000 
 3 Bedrooms , Damansara Damai ,  STRATA O DEPO Bayu Saujana Indah Condo | PRIMA Damansara  , Apartments , 3 Bedrooms ,750 sq.ft, RM 195 000 
 2 Bathrooms , USJ ,"  For Sale= Main Place Residence USJ, Beside LRT Below Market Price!!!!  ", Apartments , 2 Bedrooms ,615 sq.ft, RM 35 500 
